0x1BF21730, 37561850161119240, 66368853, 66369376, 523, 640x360 
0x1BF21730, 37561850161758072, 66369398, 66369420, 22, 640x360 
0x1BF21730, 37561850166712712, 66369420, 66369435, 15, 640x360 
0x1BF21730, 37561850167032864, 66369442, 66369446, 4, 640x360 
0x1BF21730, 37561850167352840, 66369477, 66369481, 4, 640x360 
0x1BF21730, 37561850167673440, 66369506, 66369509, 3, 640x360 
0x1BF21730, 37561850168152664, 66369553, 66369556, 3, 640x360 
0x1BF21730, 37561850168472776, 66369590, 66369593, 3, 640x360 
0x1BF21730, 37561850168793736, 66369620, 66369623, 3, 640x360 
0x1BF21730, 37561850169116472, 66369649, 66369652, 3, 640x360 
0x1BF21730, 37561850169436464, 66369684, 66369687, 3, 640x360 
0x1BF21730, 37561850169756528, 66369713, 66369717, 4, 640x360 
0x1BF21730, 37561850170072968, 66369748, 66369753, 5, 640x360 
0x1BF21730, 37561850170393368, 66369778, 66369782, 4, 640x360 
0x1BF21730, 37561850170713840, 66369813, 66369820, 7, 640x360 
0x1BF21730, 37561850171033576, 66369843, 66369847, 4, 640x360 
0x1BF21730, 37561850171353344, 66369878, 66369882, 4, 640x360 
0x1BF21730, 37561850171673048, 66369907, 66369910, 3, 640x360 
0x1BF21730, 37561850171993008, 66369936, 66369939, 3, 640x360 
0x1BF21730, 37561850172472960, 66369984, 66369988, 4, 640x360 
0x1BF21730, 37561850172792992, 66370020, 66370024, 4, 640x360 
0x1BF21730, 37561850173115768, 66370049, 66370052, 3, 640x360 
0x1BF21730, 37561850173435880, 66370085, 66370088, 3, 640x360 
0x1BF21730, 37561850173758624, 66370115, 66370118, 3, 640x360 
0x1BF21730, 37561850174074000, 66370149, 66370153, 4, 640x360 
0x1BF21730, 37561850174392968, 66370179, 66370183, 4, 640x360 
0x1BF21730, 37561850174713120, 66370214, 66370220, 6, 640x360 
0x1BF21730, 37561850175033760, 66370242, 66370245, 3, 640x360 
0x1BF21730, 37561850175353392, 66370276, 66370280, 4, 640x360 
0x1BF21730, 37561850175674312, 66370307, 66370310, 3, 640x360 
0x1BF21730, 37561850175993288, 66370337, 66370340, 3, 640x360 
0x1BF21730, 37561850176314008, 66370371, 66370374, 3, 640x360 
0x1BF21730, 37561850176793440, 66370422, 66370425, 3, 640x360 
0x1BF21730, 37561850177114528, 66370450, 66370453, 3, 640x360 
0x1BF21730, 37561850177437568, 66370485, 66370488, 3, 640x360 
